Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,1340.1239854,1302.0859699,1212.3339637,1335.0009818,1086.2189956,1011.7699957,1075.7880005,1087.0795972,1104.738197,1123.2972894,874.7312789,1012.6639738,926.0268695,719.572364,995.8237748,772.0661355,612.4706464,846.8156569,907.8868183,885.7158476,902.8543286,1117.3456428,1269.0194578,1249.0,0.0,0.0,0.0,0.0,0.0
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.4924752,1133.3605635,884.2332676,1484.300964,1579.4185707,1396.2354379,1158.0377555,1537.4130848,1103.1183459,649.9305163,934.292881,870.6651789,934.4687495,914.636559,1245.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,101.7829982,16.7610014,174.8780121,326.9550058,352.7640061,393.4080072,246.4749948,274.9180026,324.1600044,363.0424046,275.0848163,350.399596,340.5686971,397.3146976,364.1907962,430.0139857,420.3825188,364.1899682,444.7178889,409.2759028,395.3579912,359.5197507,375.9412509,419.0,0.0,0.0,0.0,0.0,0.0
Croatia,0.0,0.0,134.545004,131.8899998,163.8620011,288.4810046,304.4689979,361.3960026,319.7300002,337.1680041,327.1239955,336.7679964,354.8629948,375.4279963,370.0095474,373.7530593,386.1328524,386.3344636,377.1421853,365.637529,369.8385933,367.1531434,360.3641197,387.0,0.0,0.0,0.0,0.0,0.0
Cyprus,30.5709991,44.6969996,39.3039993,77.5160004,45.3690006,42.6779996,51.7409994,46.4959993,46.2059995,53.9413,66.7969972,52.8910969,51.3787973,53.0959969,59.8123959,69.6475053,55.4956657,69.2840491,77.2930951,75.4378673,73.9056481,80.7935252,85.3983201,89.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,659.433,525.274,472.1560042,448.3950038,508.7240003,511.4539975,474.9920028,484.5799989,523.4079971,557.6873572,560.2263965,633.0506651,641.5285778,622.6632594,604.6831455,656.4660993,631.0135547,678.9607778,621.412751,525.1680463,469.731678,572.4584702,685.226286,637.0,0.0,0.0,0.0,0.0,0.0
Denmark,865.1389994,908.5420009,958.834999,890.5559968,908.4830013,757.796998,895.013997,808.4571944,853.6600935,868.8648934,790.6439887,868.401388,804.5923848,724.0392818,848.8462806,794.5496071,822.4936613,794.2843231,688.3443275,676.2529948,806.4887504,762.2586282,799.8243258,822.0,0.0,0.0,0.0,0.0,0.0
Estonia,0.0,0.0,12.9090002,44.1889984,63.1639953,82.8480035,84.2140102,98.8619984,89.5309963,95.2534046,97.3386033,106.9025036,110.8098218,114.3622634,128.524104,144.660116,166.942772,101.1320074,153.8600031,123.4939484,104.7827036,66.6144089,103.9805131,120.0,0.0,0.0,0.0,0.0,0.0
Finland,1070.434998,965.5539994,1030.3279992,1128.8639924,1049.5079937,734.6779959,900.6418949,939.4252962,1001.3650968,979.0139933,967.2189943,947.4328339,969.5858925,965.8931931,1034.3603933,1102.2406119,1046.8443604,1056.9026471,1114.9218201,1058.406243,1080.4242147,1092.9770746,1082.0259846,1095.0,0.0,0.0,0.0,0.0,0.0
France,5205.1723628,5556.9880327,5614.4526969,5506.7800365,5110.8720375,5312.6817079,5512.4060067,5486.9108464,5350.6906081,5578.4365123,5402.0806777,5252.8193178,5525.7153235,5393.6799911,4929.1171668,4787.3583972,5277.5864598,5627.7542717,5151.5666778,5676.7497713,5712.8985095,5961.9527905,5790.2946384,5707.0,0.0,0.0,0.0,0.0,0.0
